Référence du modèle;Taille; Code EAN ;Désignation;Collection;Segment;Quantités BL;Date Expe 
B75806;3713; 4 059 809 047 088 ;SAMBA OG;   Q325;CHAUSSURES;690;19/03/2025
B75806;3713; 4 059 809 047 088 ;SAMBA OG;   Q325;CHAUSSURES;300;21/03/2025
B75806;3713; 4 059 809 047 088 ;SAMBA OG;   Q325;CHAUSSURES;300;24/03/2025
B75806;3823; 4 059 809 047 156 ;SAMBA OG;   Q325;CHAUSSURES;300;31/01/2025
B75806;3823; 4 059 809 047 156 ;SAMBA OG;   Q325;CHAUSSURES;68;10/03/2025
B75806;3823; 4 059 809 047 156 ;SAMBA OG;   Q325;CHAUSSURES;680;13/03/2025
B75806;3823; 4 059 809 047 156 ;SAMBA OG;   Q325;CHAUSSURES;880;19/03/2025
B75806;3823; 4 059 809 047 156 ;SAMBA OG;   Q325;CHAUSSURES;650;21/03/2025
B75806;3823; 4 059 809 047 156 ;SAMBA OG;   Q325;CHAUSSURES;300;24/03/2025
B75806;3913; 4 059 809 046 197 ;SAMBA OG;   Q325;CHAUSSURES;140;31/01/2025
B75806;3913; 4 059 809 046 197 ;SAMBA OG;   Q325;CHAUSSURES;29;10/03/2025
B75806;3913; 4 059 809 046 197 ;SAMBA OG;   Q325;CHAUSSURES;340;13/03/2025
B75806;3913; 4 059 809 046 197 ;SAMBA OG;   Q325;CHAUSSURES;440;19/03/2025
B75806;3913; 4 059 809 046 197 ;SAMBA OG;   Q325;CHAUSSURES;300;21/03/2025
B75806;3913; 4 059 809 046 197 ;SAMBA OG;   Q325;CHAUSSURES;200;24/03/2025
B75806;4023; 4 059 809 047 071 ;SAMBA OG;   Q325;CHAUSSURES;50;31/01/2025
B75806;4023; 4 059 809 047 071 ;SAMBA OG;   Q325;CHAUSSURES;20;10/03/2025
B75806;4023; 4 059 809 047 071 ;SAMBA OG;   Q325;CHAUSSURES;140;13/03/2025
B75806;4023; 4 059 809 047 071 ;SAMBA OG;   Q325;CHAUSSURES;180;19/03/2025
B75806;4023; 4 059 809 047 071 ;SAMBA OG;   Q325;CHAUSSURES;150;21/03/2025
B75806;4023; 4 059 809 047 071 ;SAMBA OG;   Q325;CHAUSSURES;60;24/03/2025
B75806;4113; 4 059 809 047 149 ;SAMBA OG;   Q325;CHAUSSURES;3;03/01/2025
B75806;4113; 4 059 809 047 149 ;SAMBA OG;   Q325;CHAUSSURES;50;31/01/2025
B75806;4113; 4 059 809 047 149 ;SAMBA OG;   Q325;CHAUSSURES;30;10/03/2025
B75806;4113; 4 059 809 047 149 ;SAMBA OG;   Q325;CHAUSSURES;240;13/03/2025
