Référence du modèle;Désignation;Segment;Sous famille;PVP;P.Vente ;Dispatch Mag ;CITY SPORT;GO SPORT;COURIR;DESTOCK
BA7130;ADILETTE J;CHAUSSURES;ORIGINALS FTW KIDS;38;B;A;X;;X;
BB1930;TERREX AX2R CF K;CHAUSSURES;OUTDOOR FTW KIDS;65;A;A;;X;;
BB1935;TERREX AX2R K;CHAUSSURES;OUTDOOR FTW KIDS;60;C;A;;X;;
BB2502;GAZELLE J;CHAUSSURES;ORIGINALS FTW KIDS;70;A;A;X;;X;X
BB2507;GAZELLE C;CHAUSSURES;ORIGINALS FTW KIDS;60;B;A;X;;X;
EG4958;SUPERSTAR;CHAUSSURES;ORIGINALS FTW MEN;110;A;A;X;;X;X
BK6726;GYMSACK TREFOIL;ACCESSOIRES;ORIGINALS ACC HW ALL;15;A;A;X;;X;
BY9548;GAZELLE C;CHAUSSURES;ORIGINALS FTW KIDS;60;C;A;X;;;
CF1035;ENTRADA 18 JSY;TEXTILE;FOOTBALL APP GENERIC MEN;20;C;A;X;X;;
CQ2809;GAZELLE;CHAUSSURES;ORIGINALS FTW MEN;110;A;A;X;;X;
CQ3139;GAZELLE CF I;CHAUSSURES;ORIGINALS FTW KIDS;55;B;A;X;;X;
CZ9556;Pump;ACCESSOIRES;FOOTBALL ACC HW ALL;10;C;A;X;X;;
DA9853;VL COURT 2.0;CHAUSSURES;SPORTSWEAR FTW MEN;70;C;A;X;X;;
DA9854;VL COURT 2.0;CHAUSSURES;SPORTSWEAR FTW MEN;70;A;A;X;X;;
DV1642;ESSENTIAL CREW;TEXTILE;ADIDAS ORIGINALS APP MEN;55;A;A;X;;X;
DV2828;TREFOIL TEE;TEXTILE;ORIGINALS APP KIDS;23;C;A;X;;;
DV2829;TREFOIL TEE;TEXTILE;ORIGINALS APP KIDS;23;A;A;X;;;
EG4959;SUPERSTAR;CHAUSSURES;ORIGINALS FTW MEN;110;B;A;X;;X;X
DV2904;TREFOIL TEE;TEXTILE;ORIGINALS APP KIDS;28;C;A;X;;X;
DV2905;TREFOIL TEE;TEXTILE;ORIGINALS APP KIDS;28;C;A;X;;;
DX6385;3G SPEE REV JRS;TEXTILE;BASKETBALL APP MEN;28;A;A;X;X;X;
DX6386;3G SPEE REV SHR;TEXTILE;BASKETBALL APP MEN;28;A;A;X;X;X;
DY6588;3G SPEE REV JRS;TEXTILE;BASKETBALL APP MEN;25;C;A;X;X;X;
DY6593;3G SPEE REV JRS;TEXTILE;BASKETBALL APP MEN;28;C;A;X;X;X;
DY6596;3G SPEE REV SHR;TEXTILE;BASKETBALL APP MEN;25;C;A;X;X;X;
DY6601;3G SPEE REV SHR;TEXTILE;BASKETBALL APP MEN;28;C;A;X;X;X;
EC3603;BASEB CLASS TRE;ACCESSOIRES;ORIGINALS ACC HW ALL;20;A;A;X;;X;X
ED8712;AC CUFF KNIT;ACCESSOIRES;ORIGINALS ACC HW ALL;23;B;A;X;;X;X
EE1151;TREF ANK SCK HC;ACCESSOIRES;ORIGINALS ACC HW ALL;14;A;A;X;;X;
EE1152;TREF ANK SCK HC;ACCESSOIRES;ORIGINALS ACC HW ALL;14;A;A;X;;X;
EE5599;NIZZA RF;CHAUSSURES;ORIGINALS FTW MEN;80;B;A;X;;X;
EE6461;OZWEEGO;CHAUSSURES;ORIGINALS FTW MEN;130;A;A;X;;X;X
EE6462;OZWEEGO;CHAUSSURES;ORIGINALS FTW MEN;130;A;A;X;;X;X
EE6464;OZWEEGO;CHAUSSURES;ORIGINALS FTW MEN;130;B;A;X;;X;
EE7773;OZWEEGO J;CHAUSSURES;ORIGINALS FTW KIDS;100;C;A;X;;;
EE7775;OZWEEGO J;CHAUSSURES;ORIGINALS FTW KIDS;100;A;A;X;;;X
EF1730;ADILETTE AQUA;ACCESSOIRES;SPORTSWEAR FTW SLIDES ALL;25;A;A;X;X;;
EF4838;SUPERSTAR CF C;CHAUSSURES;ORIGINALS FTW KIDS;70;A;A;X;;X;X
EF4840;SUPERSTAR CF C;CHAUSSURES;ORIGINALS FTW KIDS;70;B;A;X;;;
EF4842;SUPERSTAR CF I;CHAUSSURES;ORIGINALS FTW KIDS;60;A;A;X;;X;
EF4843;SUPERSTAR CF I;CHAUSSURES;ORIGINALS FTW KIDS;60;B;A;X;;X;
EF5394;SUPERSTAR C;CHAUSSURES;ORIGINALS FTW KIDS;70;C;A;X;;X;
EF5395;SUPERSTAR C;CHAUSSURES;ORIGINALS FTW KIDS;70;C;A;X;;X;
EF6298;OZWEEGO C;CHAUSSURES;ORIGINALS FTW KIDS;80;B;A;X;;X;
EF6299;OZWEEGO C;CHAUSSURES;ORIGINALS FTW KIDS;80;C;A;X;;X;
EF6300;OZWEEGO EL I;CHAUSSURES;ORIGINALS FTW KIDS;70;B;A;X;;X;
EF6301;OZWEEGO EL I;CHAUSSURES;ORIGINALS FTW KIDS;70;B;A;X;;X;
EG1758;ADILETTE AQUA;ACCESSOIRES;SPORTSWEAR FTW SLIDES ALL;25;A;A;X;X;;X
EG2041;EEZAY FLIP FLOP;CHAUSSURES;SPORTSWEAR FTW SLIDES ALL;25;C;A;X;X;;
EG2042;EEZAY FLIP FLOP;CHAUSSURES;SPORTSWEAR FTW SLIDES ALL;25;A;A;X;;;
EG2069;COMFORT FLIP FLOP;CHAUSSURES;SPORTSWEAR FTW SLIDES ALL;35;A;A;X;;;X
EG2654;STRUTTER;CHAUSSURES;SPORTSWEAR FTW MEN;70;A;A;X;X;;X
EG4107;VL COURT 2.0;CHAUSSURES;ADIDAS CORE SPORT INSPIRED FTW WOMEN;70;C;A;X;X;;
EG4957;SUPERSTAR;CHAUSSURES;ORIGINALS FTW MEN;110;B;A;X;;;X
F35542;ADILETTE AQUA;ACCESSOIRES;SPORTSWEAR FTW SLIDES ALL;25;B;A;X;X;;X
EG4960;SUPERSTAR;CHAUSSURES;ORIGINALS FTW MEN;110;B;A;X;;X;X
EG6517;ADISSAGE;ACCESSOIRES;SPORTSWEAR FTW SLIDES ALL;30;A;A;X;X;;
EG8271;ADILETTE LITE J;CHAUSSURES;ORIGINALS FTW KIDS;35;A;A;X;;;
F34057;NIZZA HI RF;CHAUSSURES;ORIGINALS FTW MEN;90;A;A;X;;X;
F34941;NIZZA HI RF;CHAUSSURES;ORIGINALS FTW MEN;90;B;A;X;;;
F35539;ADILETTE AQUA;ACCESSOIRES;SPORTSWEAR FTW SLIDES ALL;25;A;A;X;X;;X
F35543;ADILETTE AQUA;ACCESSOIRES;SPORTSWEAR FTW SLIDES ALL;25;B;A;X;X;;X
F35550;ADILETTE AQUA;ACCESSOIRES;SPORTSWEAR FTW SLIDES ALL;25;A;A;X;X;;X
F35573;ADISSAGE;ACCESSOIRES;SPORTSWEAR FTW SLIDES ALL;30;A;A;X;X;;
F35556;ADILETTE AQUA K;CHAUSSURES;SPORTSWEAR FTW SLIDES ALL;23;B;A;X;X;;
F99787;CONTINENTAL 80 J;CHAUSSURES;ADIDAS ORIGINALS FTW KIDS;70;B;A;X;;X;
FJ2544;BASEB CLASS TRE;ACCESSOIRES;ORIGINALS ACC HW ALL;20;B;A;X;;X;X
FK0891;BBALL CAP COT;ACCESSOIRES;NOT SPORTS SPECIFIC;20;C;A;X;X;;
